RR 20 10
 0	A	10	S	
 10	B	10	S	
 20	C	10	S	
 30	A	10	S	
 40	B	10	B	
 50	C	10	S	
 60	A	5	B	
 65	C	10	S	
 75	C	10	S	
 85	B	10	S	
 95	C	5	B	
 100	A	10	S	
 110	B	10	B	
 120	A	10	S	
 130	C	10	S	
 140	A	5	B	
 145	B	10	T	
 155	C	10	S	
 165	C	10	S	
 175	A	10	S	
 185	C	10	S	
 195	A	10	S	
 205	C	5	T	
 210	A	5	B	
 215	<idle>	20	I	
 235	A	10	S	
 245	A	10	B	
 255	<idle>	20	I	
 275	<done>	208.333	
SPN 20
